Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Gini index,SI.POV.GINI,Finland,FIN,..,27.2,26.8,27.1,27.1,27.4,27.3,27.7,27.1,27.7,..,..
Gini index,SI.POV.GINI,France,FRA,32.1,32.6,32.3,32.7,31.9,31.6,32.4,31.2,30.7,31.5,..,..
Gini index,SI.POV.GINI,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Gabon,GAB,..,..,..,..,..,38,..,..,..,..,..,..
Gini index,SI.POV.GINI,"Gambia, The",GMB,..,..,..,35.9,..,..,..,..,38.8,..,..,..
Gini index,SI.POV.GINI,Georgia,GEO,..,40.5,37.6,36.5,36.6,37.9,36.4,35.9,34.5,34.2,33.5,..
Gini index,SI.POV.GINI,Germany,DEU,..,28.9,30.8,31.7,31.4,31.3,31.9,31.8,32.4,..,..,..
Gini index,SI.POV.GINI,Ghana,GHA,..,..,..,..,43.5,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Greece,GRC,..,34.2,35.8,36,35,34.4,32.9,33.1,33.6,32.9,..,..
Gini index,SI.POV.GINI,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Grenada,GRD,..,..,..,..,..,..,43.8,..,..,..,..,..
Gini index,SI.POV.GINI,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Guatemala,GTM,..,54.2,48.3,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Guinea,GIN,..,..,..,..,..,..,29.6,..,..,..,..,..
Gini index,SI.POV.GINI,Guinea-Bissau,GNB,..,..,..,..,..,..,34.8,..,..,33.4,..,..
Gini index,SI.POV.GINI,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Honduras,HND,55.9,..,49.9,49.2,49.8,49.4,48.9,48.2,..,..,..,..
Gini index,SI.POV.GINI,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Hungary,HUN,..,..,30.9,30.4,30.3,30.6,29.6,30,29.7,29.2,..,..
Gini index,SI.POV.GINI,Iceland,ISL,..,..,27.8,26.8,27.2,26.1,..,..,..,..,..,..
Gini index,SI.POV.GINI,India,IND,..,..,..,34.7,34.7,35.9,34.5,33.8,33.8,32.8,..,..
Gini index,SI.POV.GINI,Indonesia,IDN,31.1,30.3,38.8,38.2,36.9,36.4,36.3,35.4,35.3,35.5,35.5,36.1
Gini index,SI.POV.GINI,"Iran, Islamic Rep.",IRN,43.6,..,34.8,35.3,35.9,36.7,37.4,36.5,35.8,35.5,34.8,..
Gini index,SI.POV.GINI,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Ireland,IRL,..,33,31.9,31.8,32.8,31.4,30.6,30.8,29.2,30.1,..,..
Gini index,SI.POV.GINI,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Israel,ISR,..,..,39.8,39.7,39,38.2,38.6,38.3,37.8,37.9,..,..
Gini index,SI.POV.GINI,Italy,ITA,..,35.2,34.7,35.4,35.2,35.9,35.2,34.6,35.2,34.8,..,..
Gini index,SI.POV.GINI,Jamaica,JAM,41.1,..,..,..,..,..,35.6,..,..,40.2,..,..
Gini index,SI.POV.GINI,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Kazakhstan,KAZ,..,..,27,26.8,27.2,27.5,27.8,28,28.7,29.2,..,..
Gini index,SI.POV.GINI,Kenya,KEN,..,..,..,40.8,..,..,..,..,36.2,38.7,..,..
Gini index,SI.POV.GINI,Kiribati,KIR,..,..,..,..,..,..,..,27.8,..,..,..,..
Gini index,SI.POV.GINI,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,"Korea, Rep.",KOR,..,..,31.2,..,35.2,34.9,33.7,33.2,32.7,32.9,..,..
Gini index,SI.POV.GINI,Kosovo,XKX,..,..,27.3,26.5,26.7,29,..,..,..,..,..,..
Gini index,SI.POV.GINI,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Kyrgyz Republic,KGZ,..,31,26.8,29,26.8,27.3,27.7,29.7,29,28.8,26.4,..
Gini index,SI.POV.GINI,Lao PDR,LAO,..,..,..,..,..,..,38.8,..,..,..,..,..
Gini index,SI.POV.GINI,Latvia,LVA,..,..,35.1,34.2,34.3,35.6,35.1,34.5,35.7,34.3,..,..
Gini index,SI.POV.GINI,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Lesotho,LSO,..,..,..,..,..,44.9,..,..,..,..,..,..
Gini index,SI.POV.GINI,Liberia,LBR,..,..,33.2,..,35.3,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Lithuania,LTU,..,..,37.7,37.4,38.4,37.3,35.7,35.3,36,36.7,..,..
Gini index,SI.POV.GINI,Luxembourg,LUX,27.7,30.1,31.2,32.9,31.7,34.5,35.4,34.2,33.4,32.7,..,..
Gini index,SI.POV.GINI,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Malawi,MWI,..,..,..,..,44.7,..,..,38.5,..,..,..,..
Gini index,SI.POV.GINI,Malaysia,MYS,..,..,..,41.1,..,..,41.2,..,..,40.7,..,..
Gini index,SI.POV.GINI,Maldives,MDV,..,..,..,..,31.3,..,..,29.3,..,..,..,..
Gini index,SI.POV.GINI,Mali,MLI,..,..,..,..,..,..,36,..,..,35.7,..,..
Gini index,SI.POV.GINI,Malta,MLT,..,..,29,29.4,29.1,29.2,28.7,31,31.4,..,..,..
Gini index,SI.POV.GINI,Marshall Islands,MHL,..,..,..,..,..,..,..,35.5,..,..,..,..
Gini index,SI.POV.GINI,Mauritania,MRT,..,39,32.6,..,..,..,..,32,..,..,..,..
Gini index,SI.POV.GINI,Mauritius,MUS,..,..,..,..,..,36.8,..,..,..,..,..,..
Gini index,SI.POV.GINI,Mexico,MEX,..,53.4,48.9,..,46.9,..,46,..,44.6,..,43.5,..
Gini index,SI.POV.GINI,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Moldova,MDA,..,36.4,26.8,27,26.3,25.9,25.7,26,..,25.7,..,..
Gini index,SI.POV.GINI,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Mongolia,MNG,..,..,32,..,32.3,..,32.7,..,..,..,31.4,..
Gini index,SI.POV.GINI,Montenegro,MNE,..,..,38.8,39,38.5,36.9,36.8,35.7,35.4,34.3,..,..
Gini index,SI.POV.GINI,Morocco,MAR,39.2,40.6,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Mozambique,MOZ,..,..,54,..,..,..,..,50.3,..,..,..,..
Gini index,SI.POV.GINI,Myanmar,MMR,..,..,..,38.1,..,30.7,..,..,..,..,..,..
Gini index,SI.POV.GINI,Namibia,NAM,..,..,..,59.1,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Nepal,NPL,..,..,..,..,..,..,..,..,..,..,30,..
Gini index,SI.POV.GINI,Netherlands,NLD,31.1,..,28.6,28.2,28.2,28.5,28.1,29.2,26,25.7,..,..
Gini index,SI.POV.GINI,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Nicaragua,NIC,..,..,46.2,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Niger,NER,..,..,34.3,..,..,..,37.3,..,..,32.9,..,..
Gini index,SI.POV.GINI,Nigeria,NGA,..,..,..,35.9,..,..,35.1,..,..,..,..,..
Gini index,SI.POV.GINI,North Macedonia,MKD,..,..,35.2,35.6,34.5,34.2,33,33.5,..,..,..,..
Gini index,SI.POV.GINI,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Norway,NOR,..,27.4,26.8,27.5,28.5,27,27.6,27.7,..,..,..,..
Gini index,SI.POV.GINI,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Pakistan,PAK,33.2,..,..,31.3,..,..,29.6,..,..,..,..,..
Gini index,SI.POV.GINI,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Panama,PAN,..,56.6,50.5,50.8,50.4,49.9,49.2,49.8,..,50.9,..,48.9
Gini index,SI.POV.GINI,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Paraguay,PRY,40.8,..,50.7,47.6,47.9,48.5,46,45.7,43.5,42.9,45.1,..
Gini index,SI.POV.GINI,Peru,PER,..,49.1,43.1,43.4,43.6,43.3,42.4,41.5,43.7,40.1,40.3,..
Gini index,SI.POV.GINI,Philippines,PHL,..,47.7,..,44.6,..,..,42.3,..,..,40.7,..,..
Gini index,SI.POV.GINI,Poland,POL,..,..,32.8,31.8,31.2,29.7,30.2,28.8,28.5,28.5,..,..
Gini index,SI.POV.GINI,Portugal,PRT,..,..,35.6,35.5,35.2,33.8,33.5,32.8,34.7,34.6,..,..
Gini index,SI.POV.GINI,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Qatar,QAT,..,..,..,..,..,35.1,..,..,..,..,..,..
Gini index,SI.POV.GINI,Romania,ROU,..,..,36,35.9,34.4,36,35.8,34.8,34.6,33.9,..,..
Gini index,SI.POV.GINI,Russian Federation,RUS,..,..,36.9,36.5,36.7,35.5,35.3,35.7,33.7,35.1,..,..
Gini index,SI.POV.GINI,Rwanda,RWA,..,48.5,..,..,43.7,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Sao Tome and Principe,STP,..,32.1,..,..,..,40.7,..,..,..,..,..,..
Gini index,SI.POV.GINI,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Senegal,SEN,..,..,..,..,..,..,38.3,..,..,36.2,..,..
Gini index,SI.POV.GINI,Serbia,SRB,..,..,40.4,40.5,38.8,36.1,35,34.5,35,33.1,..,..
Gini index,SI.POV.GINI,Seychelles,SYC,..,..,..,..,..,..,32.1,..,..,..,..,..
Gini index,SI.POV.GINI,Sierra Leone,SLE,..,..,..,..,..,..,35.7,..,..,..,..,..
Gini index,SI.POV.GINI,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Slovak Republic,SVK,..,..,26.1,26.5,25.2,23.2,25,23.2,24.2,24.1,..,..
Gini index,SI.POV.GINI,Slovenia,SVN,..,..,25.7,25.4,24.8,24.2,24.6,24.4,24,24.3,..,..
Gini index,SI.POV.GINI,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,South Africa,ZAF,..,57.8,63,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,South Sudan,SSD,..,..,..,..,44.1,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Spain,ESP,32,34.1,36.1,36.2,35.8,34.7,34.7,34.3,34.9,33.9,..,..
Gini index,SI.POV.GINI,Sri Lanka,LKA,32.4,..,..,..,39.3,..,..,37.7,..,..,..,..
Gini index,SI.POV.GINI,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,St. Lucia,LCA,..,..,..,43.7,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Sudan,SDN,..,..,34.2,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Suriname,SUR,..,..,..,..,..,..,..,..,..,..,39.2,..
Gini index,SI.POV.GINI,Sweden,SWE,..,27,28.4,29.2,29.6,28.8,30,29.3,28.9,29.8,..,..
Gini index,SI.POV.GINI,Switzerland,CHE,..,33.4,32.5,32.3,33,32.7,33.1,34,33.7,..,..,..
Gini index,SI.POV.GINI,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,26.6,..
Gini index,SI.POV.GINI,Tajikistan,TJK,..,..,..,34,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Tanzania,TZA,..,37.3,..,..,..,..,40.5,..,..,..,..,..
Gini index,SI.POV.GINI,Thailand,THA,45.3,42.8,37,36,36.9,36.4,36.4,34.9,35,34.9,..,..
Gini index,SI.POV.GINI,Timor-Leste,TLS,..,..,28.7,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Togo,TGO,..,..,..,43,..,..,42.5,..,..,37.9,..,..
Gini index,SI.POV.GINI,Tonga,TON,..,37.7,..,33.5,..,..,..,..,..,27.1,..,..
Gini index,SI.POV.GINI,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Tunisia,TUN,40.1,40.8,..,32.8,..,..,..,..,..,33.7,..,..
Gini index,SI.POV.GINI,Turkiye,TUR,..,..,..,..,..,43.5,42.4,43.8,43,44.4,..,..
Gini index,SI.POV.GINI,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Uganda,UGA,..,..,..,..,42.8,..,..,42.7,..,..,..,..
Gini index,SI.POV.GINI,Ukraine,UKR,..,..,24,25.5,25,26,26.1,26.6,25.6,..,..,..
Gini index,SI.POV.GINI,United Arab Emirates,ARE,..,..,..,..,..,..,26.4,..,..,..,..,..
Gini index,SI.POV.GINI,United Kingdom,GBR,35.7,38.8,33.1,33.3,33.1,32.6,33.7,32.8,32.6,32.4,..,..
Gini index,SI.POV.GINI,United States,USA,38.3,40.1,41.5,41.2,41.1,41.2,41.4,41.5,39.7,39.7,41.3,..
Gini index,SI.POV.GINI,Uruguay,URY,..,42.9,40.1,40.1,39.7,39.5,39.7,39.7,40.2,40.8,40.6,..
Gini index,SI.POV.GINI,Uzbekistan,UZB,..,36,..,..,..,..,..,..,..,..,31.2,..
Gini index,SI.POV.GINI,Vanuatu,VUT,..,..,..,..,..,..,..,32.3,..,..,..,..
Gini index,SI.POV.GINI,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Viet Nam,VNM,..,..,34.8,..,35.3,..,35.7,..,36.8,..,36.1,..
Gini index,SI.POV.GINI,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,West Bank and Gaza,PSE,..,..,..,..,33.7,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,"Yemen, Rep.",YEM,..,..,36.7,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Zambia,ZMB,..,..,..,55.8,..,..,..,..,..,..,51.5,..
Gini index,SI.POV.GINI,Zimbabwe,ZWE,..,..,..,..,..,44.3,..,50.3,..,..,..,..
Gini index,SI.POV.GINI,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,..,..,..,..
